Agent Name,KD,Kills,Deaths,Assists,Pick Rate,ACS,First Blood,Num Matches,Label
0,1.28,15.0,11.8,4.8,0.009,211.0,0.1169999999999999,204.0,2.0
10,0.94,11.3,12.0,3.7,0.139,183.0,0.1169999999999999,90015.0,1.0
4,1.1,14.0,12.7,3.4,0.133,232.0,0.171,86037.0,1.0
9,1.12,14.0,12.5,3.6,0.131,234.0,0.153,84660.0,1.0
8,1.02,13.1,12.9,4.5,0.106,228.0,0.15,68442.0,1.0
7,0.98,12.4,12.7,3.5,0.065,208.0,0.162,42432.0,1.0
12,0.88,11.1,12.6,4.5,0.062,185.0,0.104,40239.0,1.0
6,0.98,12.2,12.4,3.9,0.061,200.0,0.132,39576.0,1.0
5,0.98,11.7,11.9,3.6,0.059,198.0,0.103,38556.0,1.0
13,0.92,11.4,12.3,4.0,0.048,189.0,0.113,30855.0,1.0
3,0.99,12.1,12.2,3.8,0.047,195.0,0.107,30600.0,1.0
14,0.94,12.1,12.9,3.2,0.042,199.0,0.141,27234.0,1.0
11,0.92,11.5,12.5,3.5,0.039,188.0,0.123,24990.0,1.0
2,0.95,12.0,12.6,5.1,0.032,200.0,0.123,20757.0,1.0
1,0.92,11.9,12.9,4.2,0.024,196.0,0.148,15708.0,1.0
0,1.0,13.5,13.5,4.0,0.013,207.0,0.109,8109.0,1.0
10,0.74,12.1,16.3,5.2,0.15,169.0,0.096,918.0,1.0
9,0.97,16.1,16.6,4.5,0.125,213.0,0.166,765.0,1.0
6,0.83,12.1,14.6,3.7,0.108,185.0,0.134,663.0,1.0
8,0.93,15.2,16.4,6.2,0.108,234.0,0.141,663.0,1.0
13,0.92,13.8,15.0,6.2,0.1,192.0,0.12,612.0,1.0
5,1.18,15.7,13.3,5.8,0.092,226.0,0.098,561.0,1.0
4,1.05,16.1,15.4,4.1,0.083,246.0,0.193,510.0,1.0
14,0.94,15.5,16.5,3.8,0.05,199.0,0.108,306.0,1.0
