Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Label
9,3.6,0.095,0.679,0.226,1
6,2.7,0.161,0.741,0.098,2
7,2.6,0.106,0.703,0.191,0
8,2.4,0.206,0.7340000000000001,0.06,2
2,2.4,0.1159999999999999,0.7440000000000001,0.14,1
4,2.2,0.151,0.743,0.107,0
15,1.4,0.143,0.7170000000000001,0.139,0
1,1.1,0.122,0.728,0.149,0
13,0.9,0.125,0.696,0.179,0
16,5.6,0.124,0.732,0.145,1
11,4.4,0.118,0.737,0.146,1
14,3.6,0.099,0.745,0.156,0
0,3.2,0.073,0.711,0.216,1
9,2.4,0.104,0.66,0.236,1
7,2.1,0.085,0.72,0.195,0
10,2.1,0.091,0.8420000000000001,0.067,2
5,1.7,0.132,0.733,0.135,0
2,1.7,0.105,0.721,0.174,1
6,1.4,0.0819999999999999,0.764,0.155,2
3,1.2,0.118,0.74,0.142,0
4,1.2,0.156,0.757,0.088,0
8,1.1,0.198,0.762,0.04,2
